日付,味,個数,金額
2025-09-19,あんこ,16,2400
2025-09-19,クリーム,11,1870
2025-09-19,チョコ,13,2340
2025-09-19,チーズ,20,4000
2025-09-20,あんこ,39,5850
2025-09-20,クリーム,28,4760
2025-09-20,チョコ,31,5580
2025-09-20,チーズ,47,9400
2025-09-21,あんこ,39,5850
2025-09-21,クリーム,23,3910
2025-09-21,チョコ,25,4500
2025-09-21,チーズ,43,8600
2025-09-22,あんこ,11,1650
2025-09-22,クリーム,9,1530
2025-09-22,チョコ,11,1980
2025-09-22,チーズ,15,3000
2025-09-23,あんこ,21,3150
2025-09-23,クリーム,14,2380
2025-09-23,チョコ,13,2340
2025-09-23,チーズ,20,4000
2025-09-24,あんこ,24,3600
2025-09-24,クリーム,19,3230
2025-09-24,チョコ,19,3420
2025-09-24,チーズ,24,4800
2025-09-25,あんこ,27,4050
2025-09-25,クリーム,16,2720
2025-09-25,チョコ,21,3780
2025-09-25,チーズ,29,5800
2025-09-26,あんこ,16,2400
2025-09-26,クリーム,11,1870
2025-09-26,チョコ,14,2520
2025-09-26,チーズ,21,4200
2025-09-27,あんこ,38,5700
2025-09-27,クリーム,23,3910
2025-09-27,チョコ,27,4860
2025-09-27,チーズ,43,8600
2025-09-28,あんこ,37,5550
2025-09-28,クリーム,23,3910
2025-09-28,チョコ,28,5040
2025-09-28,チーズ,39,7800
2025-09-29,あんこ,19,2850
2025-09-29,クリーム,14,2380
2025-09-29,チョコ,14,2520
2025-09-29,チーズ,22,4400
2025-09-30,あんこ,22,3300
2025-09-30,クリーム,14,2380
2025-09-30,チョコ,18,3240
2025-09-30,チーズ,25,5000
2025-10-01,あんこ,24,3600
2025-10-01,クリーム,16,2720
2025-10-01,チョコ,18,3240
2025-10-01,チーズ,29,5800
2025-10-02,あんこ,25,3750
2025-10-02,クリーム,19,3230
2025-10-02,チョコ,19,3420
2025-10-02,チーズ,28,5600
2025-10-03,あんこ,18,2700
2025-10-03,クリーム,12,2040
2025-10-03,チョコ,11,1980
2025-10-03,チーズ,17,3400
2025-10-04,あんこ,35,5250
2025-10-04,クリーム,27,4590
2025-10-04,チョコ,32,5760
2025-10-04,チーズ,39,7800
2025-10-05,あんこ,31,4650
2025-10-05,クリーム,23,3910
2025-10-05,チョコ,25,4500
2025-10-05,チーズ,36,7200
2025-10-06,あんこ,20,3000
2025-10-06,クリーム,13,2210
2025-10-06,チョコ,14,2520
2025-10-06,チーズ,24,4800
2025-10-07,あんこ,20,3000
2025-10-07,クリーム,13,2210
2025-10-07,チョコ,15,2700
2025-10-07,チーズ,25,5000
2025-10-08,あんこ,25,3750
2025-10-08,クリーム,17,2890
2025-10-08,チョコ,16,2880
2025-10-08,チーズ,29,5800
2025-10-09,あんこ,15,2250
2025-10-09,クリーム,9,1530
2025-10-09,チョコ,11,1980
2025-10-09,チーズ,15,3000
2025-10-10,あんこ,32,4800
2025-10-10,クリーム,22,3740
2025-10-10,チョコ,23,4140
2025-10-10,チーズ,38,7600
2025-10-11,あんこ,37,5550
2025-10-11,クリーム,25,4250
2025-10-11,チョコ,30,5400
2025-10-11,チーズ,38,7600
2025-10-12,あんこ,33,4950
2025-10-12,クリーム,27,4590
2025-10-12,チョコ,27,4860
2025-10-12,チーズ,38,7600
2025-10-13,あんこ,20,3000
2025-10-13,クリーム,12,2040
2025-10-13,チョコ,17,3060
2025-10-13,チーズ,25,5000
2025-10-14,あんこ,23,3450
2025-10-14,クリーム,16,2720
2025-10-14,チョコ,16,2880
2025-10-14,チーズ,21,4200
2025-10-15,あんこ,12,1800
2025-10-15,クリーム,10,1700
2025-10-15,チョコ,11,1980
2025-10-15,チーズ,16,3200
2025-10-16,あんこ,23,3450
2025-10-16,クリーム,16,2720
2025-10-16,チョコ,20,3600
2025-10-16,チーズ,26,5200
2025-10-17,あんこ,33,4950
2025-10-17,クリーム,23,3910
2025-10-17,チョコ,22,3960
2025-10-17,チーズ,32,6400
2025-10-18,あんこ,41,6150
2025-10-18,クリーム,23,3910
2025-10-18,チョコ,28,5040
2025-10-18,チーズ,48,9600
2025-10-19,あんこ,31,4650
2025-10-19,クリーム,19,3230
2025-10-19,チョコ,22,3960
2025-10-19,チーズ,35,7000
2025-10-20,あんこ,21,3150
2025-10-20,クリーム,13,2210
2025-10-20,チョコ,17,3060
2025-10-20,チーズ,26,5200
2025-10-21,あんこ,21,3150
2025-10-21,クリーム,15,2550
2025-10-21,チョコ,17,3060
2025-10-21,チーズ,25,5000
2025-10-22,あんこ,12,1800
2025-10-22,クリーム,10,1700
2025-10-22,チョコ,11,1980
2025-10-22,チーズ,15,3000
2025-10-23,あんこ,26,3900
2025-10-23,クリーム,18,3060
2025-10-23,チョコ,19,3420
2025-10-23,チーズ,26,5200
2025-10-24,あんこ,28,4200
2025-10-24,クリーム,23,3910
2025-10-24,チョコ,21,3780
2025-10-24,チーズ,32,6400
2025-10-25,あんこ,35,5250
2025-10-25,クリーム,29,4930
2025-10-25,チョコ,32,5760
2025-10-25,チーズ,46,9200
2025-10-26,あんこ,34,5100
2025-10-26,クリーム,24,4080
2025-10-26,チョコ,25,4500
2025-10-26,チーズ,37,7400
2025-10-27,あんこ,24,3600
2025-10-27,クリーム,14,2380
2025-10-27,チョコ,19,3420
2025-10-27,チーズ,23,4600
2025-10-28,あんこ,11,1650
2025-10-28,クリーム,7,1190
2025-10-28,チョコ,8,1440
2025-10-28,チーズ,14,2800
2025-10-29,あんこ,21,3150
2025-10-29,クリーム,15,2550
2025-10-29,チョコ,18,3240
2025-10-29,チーズ,30,6000
2025-10-30,あんこ,25,3750
2025-10-30,クリーム,16,2720
2025-10-30,チョコ,17,3060
2025-10-30,チーズ,31,6200
2025-10-31,あんこ,32,4800
2025-10-31,クリーム,20,3400
2025-10-31,チョコ,23,4140
2025-10-31,チーズ,38,7600
