CustomerID,CustomerName,Segment,Region,Prefecture,SignupDate
C00093,佐藤 樹,一般,関東,東京都,2020-01-11
C00094,井上 陽菜,ゴールド,中部,愛知県,2023-05-17
C00095,高橋 健太,ゴールド,北海道,北海道,2024-09-30
C00096,井上 陽翔,一般,関東,神奈川県,2023-07-16
C00097,鈴木 蒼,一般,関東,神奈川県,2024-02-26
C00098,渡辺 蒼,プラチナ,九州,福岡県,2021-03-08
C00099,山本 美咲,ゴールド,九州,福岡県,2023-10-15
C00100,清水 結衣,一般,東北,宮城県,2022-02-04
C00101,加藤 湊,ゴールド,北海道,北海道,2020-11-16
C00102,田中 美咲,プラチナ,関東,神奈川県,2020-04-20
C00103,佐藤 蓮,一般,近畿,大阪府,2024-06-30
C00104,山田 彩,ゴールド,近畿,大阪府,2025-04-10
C00105,木村 蓮,ゴールド,北海道,北海道,2020-08-14
C00106,井上 結衣,ゴールド,中国,広島県,2023-06-19
C00107,山本 悠真,プラチナ,近畿,京都府,2023-08-11
C00108,鈴木 大翔,ゴールド,北海道,北海道,2020-08-15
C00109,山本 芽依,プラチナ,東北,宮城県,2022-08-06
C00110,佐々木 悠真,一般,関東,神奈川県,2023-01-06
C00111,木村 陽菜,ゴールド,関東,東京都,2021-06-16
C00112,渡辺 陽菜,一般,東北,宮城県,2023-07-25
C00113,鈴木 結菜,ゴールド,関東,埼玉県,2020-04-18
C00114,清水 結衣,一般,関東,埼玉県,2020-12-26
C00115,鈴木 杏,ゴールド,中部,石川県,2023-11-22
C00116,林 蓮,一般,近畿,兵庫県,2022-11-12
C00117,吉田 陽菜,ゴールド,関東,東京都,2024-05-12
C00118,伊藤 湊,プラチナ,九州,福岡県,2020-06-12
C00119,佐々木 健太,一般,東北,宮城県,2024-05-25
C00120,清水 陽翔,一般,近畿,京都府,2022-07-20
C00121,加藤 結衣,一般,関東,東京都,2024-05-04
C00122,伊藤 颯太,一般,九州,福岡県,2022-03-25
C00123,小林 蓮,一般,東北,宮城県,2022-08-19
C00124,吉田 莉子,一般,近畿,兵庫県,2022-04-19
C00125,佐藤 颯太,一般,北海道,北海道,2023-06-08
C00126,佐藤 彩,一般,近畿,兵庫県,2023-07-18
C00127,田中 健太,ゴールド,近畿,大阪府,2024-04-28
C00128,佐々木 悠真,ゴールド,近畿,兵庫県,2021-11-12
C00129,小林 莉子,ゴールド,関東,埼玉県,2024-04-08
C00130,佐藤 樹,ゴールド,関東,埼玉県,2023-01-07
C00131,木村 陽菜,一般,関東,東京都,2023-09-15
C00132,林 結衣,ゴールド,九州,福岡県,2022-07-11
C00133,山本 芽依,一般,近畿,京都府,2020-01-28
C00134,吉田 莉子,一般,近畿,京都府,2020-11-01
C00135,伊藤 蒼,プラチナ,北海道,北海道,2023-01-13
C00136,吉田 樹,一般,関東,東京都,2022-06-10
C00137,伊藤 蒼,ゴールド,関東,神奈川県,2023-02-13
C00138,林 芽依,一般,近畿,大阪府,2021-11-27
C00139,田中 陽翔,一般,近畿,兵庫県,2024-02-17
C00140,井上 蓮,一般,近畿,大阪府,2020-09-14
C00141,小林 陽菜,プラチナ,関東,神奈川県,2021-11-16
C00142,鈴木 悠真,ゴールド,関東,神奈川県,2021-10-06
C00143,佐藤 芽依,一般,関東,神奈川県,2021-12-29
C00144,井上 美咲,一般,東北,宮城県,2020-09-02
C00145,林 結衣,一般,北海道,北海道,2025-03-20
C00146,渡辺 健太,一般,近畿,京都府,2025-02-23
C00147,田中 莉子,一般,関東,埼玉県,2024-05-08
C00148,高橋 莉子,一般,関東,千葉県,2020-05-28
C00149,井上 大翔,一般,関東,埼玉県,2022-02-01
C00150,松本 湊,一般,近畿,大阪府,2024-12-30
C00151,佐々木 湊,一般,東北,宮城県,2020-03-04
C00152,鈴木 蓮,一般,関東,千葉県,2024-01-09
C00153,高橋 結衣,ゴールド,北海道,北海道,2024-04-23
C00154,松本 美咲,一般,関東,埼玉県,2024-07-28
C00155,小林 蓮,プラチナ,中部,石川県,2024-07-19
C00156,高橋 健太,一般,中部,愛知県,2021-05-14
C00157,佐藤 健太,一般,関東,東京都,2025-04-02
C00158,吉田 彩,プラチナ,関東,東京都,2024-11-28
C00159,山本 悠真,プラチナ,関東,神奈川県,2024-07-06
C00160,中村 結衣,一般,関東,埼玉県,2025-01-07
C00161,山本 健太,一般,近畿,兵庫県,2022-01-20
C00162,中村 健太,一般,中国,広島県,2024-04-29
C00163,中村 咲良,一般,中国,広島県,2025-06-04
C00164,鈴木 陽翔,一般,東北,宮城県,2021-04-26
C00165,佐々木 颯太,ゴールド,北海道,北海道,2020-10-20
C00166,吉田 颯太,ゴールド,近畿,大阪府,2021-09-24
C00167,中村 蓮,一般,関東,埼玉県,2021-05-04
C00168,高橋 健太,ゴールド,関東,千葉県,2022-10-25
C00169,田中 蓮,一般,関東,神奈川県,2024-05-17
C00170,山田 陽菜,一般,関東,埼玉県,2022-04-30
C00171,渡辺 大翔,一般,近畿,京都府,2021-06-07
C00172,松本 樹,ゴールド,近畿,京都府,2023-01-08
C00173,高橋 美咲,一般,中部,石川県,2025-05-09
C00174,小林 莉子,ゴールド,関東,東京都,2021-12-01
C00175,佐藤 大翔,プラチナ,中部,石川県,2020-09-01
C00176,山本 陽菜,一般,関東,神奈川県,2021-12-01
C00177,加藤 莉子,プラチナ,関東,千葉県,2021-11-28
C00178,加藤 莉子,プラチナ,北海道,北海道,2022-09-21
C00179,田中 芽依,プラチナ,中国,広島県,2024-08-16
C00180,鈴木 彩,一般,関東,千葉県,2021-06-12
C00181,加藤 彩,プラチナ,関東,神奈川県,2025-06-15
C00182,中村 大翔,ゴールド,関東,東京都,2023-01-19
C00183,加藤 蒼,一般,中部,愛知県,2024-05-09
C00184,高橋 湊,一般,近畿,京都府,2020-11-08
C00185,山本 蒼,プラチナ,近畿,兵庫県,2024-06-18
C00186,佐々木 結衣,ゴールド,北海道,北海道,2022-12-28
C00187,佐藤 咲良,ゴールド,九州,福岡県,2025-06-02
C00188,伊藤 樹,一般,関東,神奈川県,2020-01-20
C00189,田中 彩,一般,中部,愛知県,2021-05-23
C00190,佐々木 陽翔,ゴールド,関東,東京都,2024-09-01
C00191,伊藤 蓮,ゴールド,近畿,大阪府,2021-03-25
C00192,鈴木 蒼,プラチナ,中部,石川県,2023-10-28
C00193,井上 湊,一般,北海道,北海道,2024-08-22
C00194,伊藤 颯太,プラチナ,関東,神奈川県,2023-08-22
C00195,林 陽菜,ゴールド,九州,福岡県,2024-11-01
C00196,林 彩,ゴールド,近畿,大阪府,2021-08-09
C00197,佐藤 芽依,一般,関東,埼玉県,2023-05-10
C00198,吉田 杏,一般,関東,埼玉県,2020-10-14
C00199,清水 結衣,ゴールド,東北,宮城県,2021-07-18
C00200,小林 杏,一般,近畿,京都府,2021-01-04
C00201,山田 咲良,ゴールド,近畿,京都府,2024-01-03
C00202,田中 結菜,ゴールド,北海道,北海道,2022-09-16
C00203,中村 結菜,ゴールド,中部,愛知県,2025-06-19
C00204,林 颯太,一般,九州,福岡県,2020-03-21
C00205,高橋 彩,ゴールド,中部,愛知県,2021-06-27
C00206,木村 莉子,プラチナ,関東,神奈川県,2022-02-25
C00207,佐藤 美咲,プラチナ,中部,石川県,2024-09-30
C00208,井上 莉子,一般,近畿,京都府,2024-04-02
C00209,山田 颯太,一般,中部,愛知県,2022-01-22
C00210,高橋 彩,一般,近畿,大阪府,2021-04-18
C00211,高橋 蓮,ゴールド,中国,広島県,2020-07-08
C00212,清水 美咲,プラチナ,中部,石川県,2021-06-23
C00213,井上 蒼,ゴールド,中国,広島県,2024-07-20
C00214,清水 悠真,プラチナ,関東,東京都,2021-01-20
C00215,佐々木 蒼,一般,関東,東京都,2023-07-02
C00216,小林 大翔,ゴールド,近畿,大阪府,2023-09-13
C00217,松本 陽菜,ゴールド,北海道,北海道,2021-08-13
C00218,佐々木 杏,一般,中国,広島県,2021-12-18
C00219,鈴木 結衣,ゴールド,東北,宮城県,2025-04-01
C00220,鈴木 咲良,一般,関東,千葉県,2020-03-12
C00221,田中 大翔,ゴールド,中部,石川県,2020-09-07
C00222,木村 彩,一般,近畿,大阪府,2021-08-28
C00223,中村 蓮,一般,中部,愛知県,2023-10-25
C00224,中村 樹,一般,関東,神奈川県,2020-04-30
C00225,松本 結衣,プラチナ,中部,愛知県,2020-01-05
C00226,佐々木 湊,一般,東北,宮城県,2025-05-24
C00227,山田 咲良,ゴールド,関東,埼玉県,2020-11-01
C00228,清水 莉子,プラチナ,中部,愛知県,2024-09-09
C00229,加藤 樹,一般,近畿,京都府,2025-03-31
C00230,小林 美咲,一般,中部,石川県,2024-01-17
C00231,田中 杏,プラチナ,九州,福岡県,2022-10-22
C00232,鈴木 結菜,ゴールド,中部,愛知県,2024-09-19
C00233,清水 彩,ゴールド,北海道,北海道,2023-04-29
C00234,鈴木 結衣,ゴールド,中部,愛知県,2020-03-28
C00235,中村 大翔,ゴールド,近畿,兵庫県,2021-02-05
C00236,伊藤 樹,一般,中国,広島県,2023-05-20
C00237,林 湊,ゴールド,近畿,大阪府,2021-03-13
C00238,松本 結衣,一般,関東,東京都,2024-02-07
C00239,高橋 結衣,プラチナ,北海道,北海道,2025-06-11
C00240,高橋 大翔,一般,中部,石川県,2024-11-05
C00241,木村 湊,ゴールド,東北,宮城県,2023-03-20
C00242,伊藤 杏,一般,東北,宮城県,2021-09-06
C00243,中村 陽翔,ゴールド,関東,東京都,2023-08-12
C00244,田中 樹,一般,九州,福岡県,2024-07-18
C00245,佐々木 健太,ゴールド,中部,愛知県,2020-05-04
C00246,中村 結菜,ゴールド,北海道,北海道,2024-09-23
C00247,高橋 颯太,一般,中部,石川県,2025-05-22
C00248,中村 結菜,ゴールド,近畿,京都府,2020-08-04
C00249,井上 彩,一般,関東,神奈川県,2024-02-16
C00250,山本 彩,一般,近畿,京都府,2023-11-01
C00251,渡辺 湊,ゴールド,北海道,北海道,2023-09-26
C00252,加藤 颯太,一般,近畿,京都府,2024-06-13
C00253,木村 陽翔,一般,北海道,北海道,2024-09-14
C00254,林 湊,一般,関東,東京都,2023-03-12
C00255,中村 結菜,一般,近畿,大阪府,2020-06-15
C00256,小林 莉子,一般,関東,埼玉県,2021-10-03
C00257,山本 蓮,ゴールド,中部,愛知県,2020-12-28
C00258,高橋 蒼,一般,中部,愛知県,2025-06-17
C00259,山田 彩,ゴールド,近畿,兵庫県,2022-08-17
C00260,清水 陽菜,一般,近畿,兵庫県,2024-10-22
C00261,高橋 杏,ゴールド,東北,宮城県,2020-10-10
C00262,吉田 美咲,ゴールド,近畿,兵庫県,2023-03-11
C00263,山田 樹,プラチナ,近畿,京都府,2025-01-30
C00264,山田 彩,プラチナ,近畿,京都府,2021-05-22
C00265,中村 樹,プラチナ,近畿,兵庫県,2021-11-12
C00266,清水 咲良,プラチナ,近畿,京都府,2024-11-12
C00267,佐藤 莉子,ゴールド,近畿,兵庫県,2023-11-21
C00268,松本 陽菜,ゴールド,九州,福岡県,2022-11-12
C00269,伊藤 彩,ゴールド,近畿,大阪府,2023-11-09
C00270,林 蓮,ゴールド,関東,千葉県,2022-04-29
C00271,松本 陽菜,一般,関東,千葉県,2020-06-30
C00272,田中 蒼,プラチナ,北海道,北海道,2024-06-04
C00273,中村 美咲,ゴールド,北海道,北海道,2022-11-16
C00274,井上 湊,プラチナ,九州,福岡県,2022-02-13
C00275,山本 彩,一般,関東,埼玉県,2020-07-15
C00276,高橋 陽翔,一般,近畿,大阪府,2023-03-27
C00277,田中 悠真,プラチナ,北海道,北海道,2021-02-11
C00278,山田 大翔,一般,近畿,京都府,2021-08-03
C00279,佐藤 蓮,ゴールド,近畿,大阪府,2020-11-14
C00280,小林 樹,一般,近畿,大阪府,2020-09-12
C00281,小林 美咲,一般,北海道,北海道,2020-11-16
C00282,木村 咲良,一般,関東,東京都,2024-08-21
C00283,吉田 健太,一般,関東,東京都,2022-03-18
C00284,田中 彩,一般,関東,東京都,2024-05-02
C00285,鈴木 杏,ゴールド,中部,愛知県,2021-04-07
C00286,小林 悠真,ゴールド,中部,石川県,2022-04-09
C00287,田中 樹,一般,関東,埼玉県,2024-01-04
C00288,伊藤 陽翔,一般,九州,福岡県,2021-04-26
C00289,山本 彩,一般,関東,千葉県,2022-10-10
C00290,鈴木 健太,一般,関東,東京都,2024-01-03
C00291,清水 蒼,一般,中部,石川県,2023-07-30
C00292,高橋 湊,プラチナ,近畿,兵庫県,2022-05-22
C00293,吉田 蓮,プラチナ,中部,石川県,2022-01-22
C00294,林 彩,一般,関東,千葉県,2020-12-23
C00295,佐々木 芽依,プラチナ,北海道,北海道,2022-04-15
C00296,林 結菜,ゴールド,関東,千葉県,2021-10-08
C00297,山本 陽翔,一般,関東,千葉県,2023-01-09
C00298,渡辺 湊,一般,北海道,北海道,2021-12-18
C00299,山田 悠真,一般,東北,宮城県,2025-03-14
C00300,清水 彩,一般,東北,宮城県,2023-08-17
C00301,佐藤 結菜,プラチナ,関東,東京都,2022-11-15
C00302,小林 陽菜,一般,近畿,大阪府,2024-08-12
C00303,松本 結衣,一般,関東,東京都,2022-03-21
C00304,山田 美咲,プラチナ,関東,神奈川県,2024-07-24
C00305,伊藤 彩,ゴールド,中部,愛知県,2024-05-05
C00306,鈴木 健太,一般,近畿,京都府,2021-11-06
C00307,清水 湊,プラチナ,中国,広島県,2023-10-27
C00308,小林 杏,一般,関東,埼玉県,2022-05-13
C00309,松本 蓮,一般,中部,石川県,2025-06-07
C00310,松本 蒼,ゴールド,関東,神奈川県,2020-11-06
C00311,伊藤 杏,ゴールド,関東,埼玉県,2024-09-14
C00312,伊藤 結衣,ゴールド,関東,千葉県,2020-04-05
C00313,木村 莉子,ゴールド,東北,宮城県,2020-05-01
C00314,吉田 結菜,一般,近畿,兵庫県,2024-07-18
C00315,木村 大翔,一般,中部,愛知県,2021-12-06
C00316,伊藤 杏,プラチナ,関東,東京都,2025-04-15
C00317,佐藤 悠真,ゴールド,東北,宮城県,2022-12-14
C00318,山田 陽菜,一般,近畿,兵庫県,2022-09-18
C00319,中村 大翔,一般,中国,広島県,2020-03-21
C00320,木村 莉子,一般,中部,愛知県,2020-05-01
C00321,加藤 蒼,プラチナ,近畿,京都府,2025-04-13
C00322,鈴木 陽菜,一般,関東,千葉県,2022-02-21
C00323,中村 悠真,一般,北海道,北海道,2021-09-02
C00324,林 芽依,ゴールド,関東,埼玉県,2023-12-03
C00325,田中 莉子,ゴールド,九州,福岡県,2025-05-20
C00326,高橋 颯太,一般,関東,神奈川県,2021-06-06
C00327,高橋 彩,一般,九州,福岡県,2022-02-20
C00328,吉田 咲良,一般,近畿,京都府,2024-06-09
C00329,木村 結菜,一般,関東,埼玉県,2025-03-13
C00330,山田 悠真,一般,北海道,北海道,2020-02-10
C00331,田中 陽翔,一般,関東,千葉県,2025-01-14
C00332,伊藤 結菜,プラチナ,関東,東京都,2023-12-30
C00333,松本 結衣,ゴールド,近畿,兵庫県,2021-03-10
C00334,田中 莉子,プラチナ,近畿,京都府,2021-08-12
C00335,佐藤 莉子,一般,東北,宮城県,2020-09-15
C00336,佐藤 颯太,一般,近畿,大阪府,2022-05-09
C00337,山田 湊,プラチナ,近畿,大阪府,2023-04-14
C00338,林 咲良,一般,関東,千葉県,2020-08-28
C00339,松本 美咲,一般,関東,東京都,2022-12-02
C00340,佐藤 咲良,一般,中部,石川県,2020-09-06
C00341,山田 莉子,一般,中部,愛知県,2020-10-16
C00342,伊藤 杏,一般,中部,石川県,2021-10-15
C00343,清水 陽菜,一般,近畿,兵庫県,2022-12-24
C00344,吉田 悠真,プラチナ,中部,愛知県,2022-12-29
C00345,加藤 大翔,ゴールド,近畿,京都府,2024-08-17
C00346,山本 湊,ゴールド,中国,広島県,2025-03-28
C00347,山本 樹,一般,関東,千葉県,2022-12-19
C00348,小林 彩,一般,中部,愛知県,2023-09-26
C00349,木村 蓮,一般,関東,東京都,2022-02-12
C00350,林 陽翔,一般,北海道,北海道,2024-08-01
C00351,井上 陽翔,一般,中国,広島県,2022-03-21
C00352,佐藤 莉子,一般,近畿,兵庫県,2021-02-11
C00353,木村 大翔,一般,中部,石川県,2020-08-24
C00354,山本 結衣,ゴールド,関東,埼玉県,2022-01-10
C00355,加藤 陽菜,一般,中部,石川県,2020-06-26
C00356,伊藤 莉子,ゴールド,関東,千葉県,2025-06-09
C00357,佐藤 彩,一般,関東,千葉県,2022-07-07
C00358,佐々木 杏,一般,東北,宮城県,2020-07-04
C00359,加藤 莉子,ゴールド,九州,福岡県,2021-03-29
C00360,小林 咲良,ゴールド,近畿,兵庫県,2024-01-11
C00361,加藤 彩,プラチナ,北海道,北海道,2020-04-16
C00362,高橋 陽菜,一般,近畿,大阪府,2020-02-23
C00363,加藤 結菜,一般,中部,愛知県,2021-12-16
C00364,伊藤 陽菜,一般,中国,広島県,2023-11-15
C00365,高橋 彩,一般,近畿,兵庫県,2022-03-26
C00366,佐藤 健太,一般,関東,埼玉県,2022-01-07
C00367,佐々木 蒼,ゴールド,近畿,大阪府,2020-09-22
C00368,田中 湊,ゴールド,関東,千葉県,2024-03-04
C00369,佐藤 咲良,一般,近畿,大阪府,2022-11-04
C00370,吉田 美咲,一般,関東,埼玉県,2021-12-13
C00371,井上 結衣,一般,東北,宮城県,2022-03-03
C00372,鈴木 颯太,一般,中部,石川県,2024-07-20
C00373,高橋 芽依,一般,北海道,北海道,2021-01-25
C00374,井上 結衣,一般,近畿,京都府,2020-01-09
C00375,吉田 颯太,一般,北海道,北海道,2023-04-29
C00376,吉田 彩,プラチナ,近畿,兵庫県,2025-01-12
C00377,佐々木 陽翔,ゴールド,北海道,北海道,2021-07-11
C00378,木村 湊,一般,近畿,大阪府,2021-05-14
C00379,井上 芽依,一般,中国,広島県,2024-09-10
C00380,清水 健太,ゴールド,北海道,北海道,2020-11-09
C00381,松本 蓮,一般,関東,埼玉県,2022-04-05
C00382,佐藤 莉子,一般,北海道,北海道,2023-01-22
C00383,小林 颯太,一般,近畿,京都府,2020-02-06
C00384,小林 樹,一般,近畿,兵庫県,2022-08-10
C00385,山田 結衣,ゴールド,関東,神奈川県,2021-02-03
C00386,高橋 湊,一般,関東,神奈川県,2025-03-06
C00387,井上 健太,一般,北海道,北海道,2024-12-22
C00388,鈴木 悠真,一般,中部,愛知県,2021-09-06
C00389,松本 莉子,ゴールド,近畿,兵庫県,2021-09-30
C00390,山田 大翔,プラチナ,中国,広島県,2025-04-28
C00391,加藤 颯太,一般,東北,宮城県,2022-09-29
C00392,中村 大翔,一般,中部,石川県,2023-05-20
C00393,渡辺 美咲,一般,関東,千葉県,2020-11-24
C00394,山田 彩,ゴールド,関東,東京都,2022-12-22
C00395,吉田 樹,一般,中部,石川県,2023-12-05
C00396,木村 蓮,ゴールド,中国,広島県,2020-08-15
C00397,清水 莉子,一般,近畿,兵庫県,2020-07-07
C00398,中村 樹,一般,九州,福岡県,2025-01-04
C00399,佐々木 颯太,ゴールド,関東,神奈川県,2021-09-13
C00400,松本 杏,プラチナ,関東,埼玉県,2021-08-05
C00401,佐藤 陽菜,ゴールド,中部,愛知県,2025-01-20
C00402,松本 芽依,プラチナ,近畿,兵庫県,2023-02-17
C00403,佐藤 莉子,ゴールド,関東,千葉県,2021-07-05
C00404,加藤 芽依,一般,東北,宮城県,2021-06-22
C00405,高橋 陽菜,一般,関東,神奈川県,2022-08-28
C00406,渡辺 蒼,一般,関東,東京都,2025-05-02
C00407,井上 健太,ゴールド,関東,神奈川県,2020-10-13
C00408,井上 芽依,ゴールド,関東,千葉県,2021-04-06
C00409,中村 健太,一般,関東,東京都,2024-12-13
C00410,中村 蒼,ゴールド,北海道,北海道,2025-02-23
C00411,佐藤 大翔,一般,東北,宮城県,2022-07-17
C00412,小林 彩,プラチナ,東北,宮城県,2024-10-27
C00413,渡辺 蓮,一般,近畿,大阪府,2024-10-13
C00414,伊藤 咲良,一般,近畿,大阪府,2020-09-14
C00415,中村 莉子,一般,中部,愛知県,2020-02-14
C00416,伊藤 蓮,一般,中国,広島県,2023-10-16
C00417,渡辺 陽翔,プラチナ,関東,東京都,2022-07-18
C00418,高橋 大翔,ゴールド,関東,東京都,2023-11-04
C00419,加藤 蒼,ゴールド,関東,埼玉県,2021-02-12
C00420,山田 颯太,一般,九州,福岡県,2022-11-15
C00421,田中 蓮,ゴールド,中部,愛知県,2022-08-16
C00422,木村 陽菜,一般,中部,愛知県,2020-11-06
C00423,山田 大翔,ゴールド,中国,広島県,2023-10-26
C00424,高橋 芽依,ゴールド,近畿,大阪府,2021-08-28
C00425,中村 湊,一般,関東,神奈川県,2021-12-28
C00426,清水 蓮,一般,関東,東京都,2020-01-17
C00427,山本 陽翔,ゴールド,中部,石川県,2022-10-23
C00428,加藤 莉子,一般,中国,広島県,2022-12-31
C00429,田中 颯太,ゴールド,東北,宮城県,2020-03-24
C00430,井上 樹,プラチナ,北海道,北海道,2024-07-21
C00431,中村 芽依,一般,中部,愛知県,2022-07-21
C00432,木村 湊,一般,中部,石川県,2025-06-18
C00433,林 美咲,一般,九州,福岡県,2024-08-20
C00434,鈴木 結衣,ゴールド,関東,埼玉県,2025-04-29
C00435,吉田 颯太,ゴールド,中部,石川県,2023-02-17
C00436,渡辺 颯太,一般,関東,埼玉県,2024-04-23
C00437,松本 健太,ゴールド,関東,千葉県,2023-11-20
C00438,清水 湊,プラチナ,東北,宮城県,2021-02-01
C00439,清水 結衣,プラチナ,近畿,京都府,2022-12-12
C00440,高橋 陽翔,ゴールド,近畿,京都府,2020-11-02
C00441,小林 陽菜,プラチナ,関東,神奈川県,2021-06-21
C00442,林 樹,プラチナ,東北,宮城県,2021-03-08
C00443,山田 大翔,一般,近畿,兵庫県,2023-05-17
C00444,清水 蓮,ゴールド,中部,愛知県,2025-01-31
C00445,田中 結菜,プラチナ,近畿,京都府,2020-03-04
C00446,山本 彩,ゴールド,北海道,北海道,2021-12-30
C00447,中村 大翔,一般,関東,神奈川県,2021-08-15
